Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2024-01-16,Lunch,658.5,23.2,5.3,0.0,0.0,0.0,0.0,360.0,0.0,59.2,13.9,3.4,58.2,0.0,0.0,0.0,0.0,
2024-01-16,Snacks,852.4,38.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0,102.1,7.0,32.7,28.0,2.0,20.0,2.0,2.0,
2024-01-17,Breakfast,614.8,16.7,2.9,4.5,6.5,0.0,0.0,171.8,422.4,92.9,6.9,35.4,25.9,3.5,10.3,5.9,0.3,
2024-01-17,Dinner,691.5,27.1,6.7,1.0,1.8,0.0,186.0,71.3,69.0,60.7,6.9,0.6,59.0,0.0,0.0,2.8,4.9,
2024-01-17,Lunch,575.5,21.4,5.0,0.0,0.0,0.0,0.0,360.0,0.0,46.9,9.4,3.4,53.7,0.0,0.0,0.0,0.0,
2024-01-17,Snacks,384.0,3.5,0.0,0.0,0.0,0.0,120.0,80.0,200.0,57.4,8.4,38.0,37.7,2.0,74.0,27.0,4.2,
2024-01-18,Breakfast,453.0,6.2,0.5,1.2,1.2,0.0,120.0,81.2,622.4,61.2,6.5,16.9,41.5,3.5,10.3,30.9,2.5,
2024-01-18,Dinner,1123.7,61.9,22.0,0.0,0.0,0.0,0.0,354.0,0.0,74.7,2.0,2.0,66.9,0.0,0.0,0.0,0.0,
2024-01-18,Lunch,779.0,34.8,9.9,0.0,0.0,0.0,0.0,2.1,0.0,33.9,10.1,6.2,85.9,0.0,0.0,0.0,0.0,
2024-01-18,Snacks,288.0,16.1,7.4,0.0,0.0,0.0,0.0,129.0,0.0,33.0,0.3,25.1,2.9,0.0,0.0,0.0,0.0,
2024-01-19,Breakfast,316.0,8.0,3.6,0.1,0.0,0.0,0.0,1.2,422.4,49.7,5.8,15.9,23.3,3.5,10.3,5.9,0.3,
2024-01-19,Dinner,640.8,39.7,17.5,3.4,4.8,0.0,0.0,352.4,0.0,49.1,2.4,18.2,23.0,0.0,0.0,0.0,0.0,
2024-01-19,Lunch,511.2,13.9,1.6,1.2,0.4,0.0,0.0,280.0,0.0,66.7,1.1,10.3,28.1,0.0,0.0,15.0,0.0,
2024-01-19,Snacks,142.0,7.1,1.1,0.0,0.0,0.0,0.0,0.1,0.0,17.8,0.8,11.0,2.2,0.0,0.0,0.0,0.0,
2024-01-22,Breakfast,821.4,24.9,4.1,6.9,9.6,0.0,60.0,41.8,522.4,109.4,8.8,22.3,43.1,3.5,10.3,18.4,1.4,
2024-01-22,Dinner,740.9,31.6,13.8,0.3,1.7,0.2,21.0,1390.9,27.7,90.0,4.8,6.9,24.6,15.8,0.0,21.9,0.7,
2024-01-22,Lunch,388.0,18.0,4.6,0.0,0.0,0.0,0.0,360.0,0.0,8.8,0.8,3.4,48.2,0.0,0.0,0.0,0.0,
2024-01-22,Snacks,34.5,0.2,0.0,0.0,0.1,0.0,0.0,0.0,117.8,8.6,1.0,7.4,0.5,0.0,11.9,0.4,0.7,
2024-01-23,Breakfast,916.1,25.0,3.9,6.5,9.0,0.0,120.0,81.8,622.4,115.5,9.2,23.0,60.5,3.5,10.3,30.9,2.5,
2024-01-23,Dinner,583.0,23.2,2.5,0.0,0.0,0.0,0.0,926.8,0.0,57.3,8.9,11.1,40.6,0.0,0.0,0.0,0.0,
2024-01-23,Lunch,388.0,18.0,4.6,0.0,0.0,0.0,0.0,360.0,0.0,8.8,0.8,3.4,48.2,0.0,0.0,0.0,0.0,
2024-01-23,Snacks,581.6,18.2,2.2,0.0,0.0,0.0,0.0,0.1,0.0,92.9,2.8,26.7,8.4,0.0,0.0,0.0,0.0,
2024-01-24,Breakfast,711.9,16.7,0.6,1.4,1.4,0.0,120.0,81.2,622.4,86.1,7.0,17.0,63.2,3.5,10.3,30.9,2.5,
2024-01-24,Dinner,720.5,41.7,16.1,0.0,0.0,0.0,0.0,0.0,0.0,42.2,9.1,0.0,48.3,0.0,0.0,0.0,0.0,
2024-01-24,Lunch,690.0,25.4,15.0,0.0,0.0,0.0,0.0,294.0,0.0,58.0,8.0,1.1,54.5,0.0,0.0,0.0,0.0,
2024-01-24,Snacks,184.5,0.2,0.0,0.0,0.1,0.0,0.0,0.0,117.8,51.6,8.0,36.4,1.5,2.0,31.9,2.4,2.7,
2024-01-25,Breakfast,105.0,0.4,0.1,0.1,0.0,0.0,0.0,1.2,422.4,27.0,3.1,14.4,1.3,3.5,10.3,5.9,0.3,
2024-01-25,Dinner,664.3,23.4,2.6,0.0,0.0,0.0,0.0,358.1,0.0,95.8,3.7,2.6,17.3,0.0,0.0,0.0,0.0,
2024-01-25,Lunch,750.0,47.5,15.0,0.0,0.0,0.0,150.0,150.0,0.0,32.5,5.0,0.0,47.5,0.0,0.0,0.0,0.0,
2024-01-26,Breakfast,471.5,6.6,0.6,1.4,1.4,0.0,120.0,81.2,622.4,64.7,6.9,16.9,42.0,3.5,10.3,30.9,2.5,
2024-01-26,Lunch,700.5,41.2,14.4,0.0,0.0,0.0,0.0,108.0,0.0,30.8,3.7,2.0,53.5,0.0,0.0,0.0,0.0,
2024-01-26,Snacks,170.0,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,46.5,5.9,17.3,1.8,2.0,20.0,2.0,2.0,
2024-01-29,Breakfast,305.0,3.4,0.1,0.1,0.0,0.0,120.0,81.2,622.4,33.0,3.1,16.4,37.3,3.5,10.3,30.9,2.5,
2024-01-29,Dinner,582.0,29.6,12.9,0.0,0.0,0.0,0.0,65.0,0.0,40.2,6.6,0.6,41.9,0.0,0.0,0.0,0.0,
2024-01-29,Lunch,560.0,11.4,2.2,0.0,0.0,0.0,0.0,85.0,0.0,49.6,5.6,2.5,65.5,0.0,0.0,0.0,0.0,
2024-01-30,Breakfast,471.5,6.6,0.6,1.4,1.4,0.0,120.0,81.2,622.4,64.7,6.9,16.9,42.0,3.5,10.3,30.9,2.5,
2024-01-30,Dinner,1184.0,50.0,18.8,0.0,0.0,0.0,0.0,7.2,0.0,130.0,0.0,10.4,54.0,0.0,0.0,0.0,0.0,
2024-01-30,Lunch,571.0,12.4,0.6,0.0,0.0,0.0,0.0,825.0,0.0,56.1,12.7,2.6,62.8,0.0,0.0,0.0,0.0,
2024-01-31,Breakfast,644.9,6.5,0.5,1.3,1.4,0.0,120.0,81.2,740.2,114.2,14.6,53.3,43.2,5.5,42.2,33.3,5.2,
2024-01-31,Dinner,604.0,24.2,2.5,0.0,0.0,0.0,0.0,907.8,0.0,62.8,14.4,11.2,40.7,0.0,0.0,0.0,0.0,
2024-01-31,Lunch,664.0,25.2,10.0,0.0,0.0,0.0,0.0,1040.0,0.0,89.0,4.8,6.4,20.8,0.0,0.0,0.0,0.0,
2024-02-01,Breakfast,305.0,3.4,0.1,0.1,0.0,0.0,120.0,81.2,622.4,33.0,3.1,16.4,37.3,3.5,10.3,30.9,2.5,
2024-02-01,Dinner,861.5,30.5,4.1,0.0,0.0,0.0,0.0,220.1,0.0,102.1,12.0,16.0,51.1,0.0,0.0,0.0,0.0,
2024-02-01,Lunch,663.0,35.4,20.7,0.0,0.0,0.0,0.0,1167.9,0.0,70.0,4.8,18.3,17.2,0.0,0.0,0.0,0.0,
2024-02-01,Snacks,369.6,11.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,59.1,0.0,3.7,5.2,0.0,0.0,0.0,0.0,
2024-02-12,Breakfast,305.0,3.4,0.1,0.1,0.0,0.0,120.0,81.2,622.4,33.0,3.1,16.4,37.3,3.5,10.3,30.9,2.5,
2024-02-12,Dinner,1184.0,50.0,18.8,0.0,0.0,0.0,0.0,7.2,0.0,130.0,0.0,10.4,54.0,0.0,0.0,0.0,0.0,
2024-02-12,Lunch,414.4,15.8,6.9,0.0,0.0,0.0,0.0,130.0,0.0,46.7,0.0,8.2,19.1,0.0,0.0,0.0,0.0,
2024-02-12,Snacks,412.0,9.3,3.6,0.0,0.0,0.0,65.0,240.0,500.0,49.1,7.1,22.5,41.0,4.0,220.0,35.5,11.1,
2024-02-13,Breakfast,553.7,8.9,1.7,1.4,1.4,0.0,120.0,238.8,694.1,76.6,8.3,28.0,45.7,3.5,10.3,49.4,17.8,
2024-02-13,Dinner,861.5,45.7,18.1,0.0,0.0,0.0,0.0,390.0,0.0,50.4,13.1,0.0,66.7,0.0,0.0,0.0,0.0,
2024-02-13,Lunch,412.6,15.5,7.1,0.0,0.0,0.0,0.0,2830.0,0.0,47.6,0.0,7.7,18.4,0.0,0.0,0.0,0.0,
2024-02-13,Snacks,350.0,8.8,3.6,0.0,0.0,0.0,5.0,200.0,0.0,56.9,7.9,27.5,23.4,0.0,108.0,15.0,6.0,
2024-02-14,Breakfast,305.0,3.4,0.1,0.1,0.0,0.0,120.0,81.2,622.4,33.0,3.1,16.4,37.3,3.5,10.3,30.9,2.5,
2024-02-14,Dinner,589.0,19.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,74.1,9.1,8.4,31.1,0.0,0.0,0.0,0.0,
2024-02-14,Lunch,414.4,15.8,6.9,0.0,0.0,0.0,0.0,130.0,0.0,46.7,0.0,8.2,19.1,0.0,0.0,0.0,0.0,
2024-02-14,Snacks,951.0,37.0,21.5,0.0,0.0,0.0,60.0,466.0,100.0,114.8,6.4,52.9,47.8,0.0,0.0,12.5,1.1,
2024-02-15,Breakfast,468.3,7.4,0.7,0.1,0.0,0.0,120.0,81.2,622.4,63.6,7.3,16.9,42.9,3.5,10.3,30.9,2.5,
2024-02-15,Dinner,964.0,38.6,9.5,0.0,0.0,0.0,0.0,785.0,0.0,57.8,8.2,7.4,100.5,0.0,0.0,0.0,0.0,
2024-02-15,Lunch,874.9,115.8,17.0,0.5,6.2,0.0,78.4,137.3,224.1,630.8,0.0,2.3,118.7,0.0,3.3,14.8,10.8,
2024-02-15,Snacks,912.5,34.3,22.0,0.2,0.1,0.0,0.0,598.8,206.5,141.4,10.5,85.2,12.3,0.0,12.8,16.6,1.8,
2024-02-16,Breakfast,429.0,7.7,3.0,0.1,0.0,0.0,120.0,137.2,622.4,50.6,4.6,31.4,41.6,3.5,10.3,48.9,2.5,
2024-02-16,Dinner,1080.0,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.8,0.0,0.0,52.4,0.0,0.0,0.0,0.0,
2024-02-16,Lunch,300.0,8.0,4.0,0.0,0.0,0.0,0.0,45.0,0.0,6.0,0.0,2.5,50.0,0.0,0.0,0.0,0.0,
2024-02-16,Snacks,379.5,21.1,4.7,0.0,0.0,0.0,0.0,60.0,0.0,41.7,0.7,17.6,5.1,0.0,0.0,0.0,0.0,
2024-02-17,Breakfast,200.0,3.0,0.0,0.0,0.0,0.0,120.0,80.0,200.0,6.0,0.0,2.0,36.0,0.0,0.0,25.0,2.2,
2024-02-17,Lunch,1599.0,45.7,22.6,0.0,0.0,0.0,0.0,0.5,0.0,107.4,9.2,14.6,25.4,0.0,0.0,0.0,0.0,
2024-02-17,Snacks,317.0,8.2,3.7,0.1,0.0,0.0,5.0,201.2,422.4,51.1,6.2,15.9,22.3,3.5,10.3,20.9,6.3,
2024-02-18,Breakfast,385.0,3.4,0.1,0.1,0.0,0.0,120.0,81.2,622.4,60.0,8.1,33.4,37.3,5.5,30.3,32.9,4.5,
2024-02-18,Dinner,858.0,39.6,4.7,0.0,0.0,0.0,0.0,907.8,0.0,83.8,14.4,13.6,47.3,0.0,0.0,0.0,0.0,
2024-02-18,Lunch,211.0,7.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0,22.7,2.7,1.5,22.0,0.0,0.0,0.0,0.0,
2024-02-18,Snacks,551.2,23.6,1.2,0.0,0.0,0.0,0.0,0.6,211.2,81.6,4.0,16.6,6.8,2.8,15.1,3.9,1.2,
2024-02-19,Breakfast,496.1,8.1,0.8,0.1,0.0,0.0,120.0,81.2,622.4,68.8,8.1,17.0,43.9,3.5,10.3,30.9,2.5,
2024-02-19,Dinner,494.0,8.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,37.2,0.0,5.4,66.0,0.0,0.0,0.0,0.0,
2024-02-19,Lunch,658.5,23.2,5.3,0.0,0.0,0.0,0.0,360.0,0.0,59.2,13.9,3.4,58.2,0.0,0.0,0.0,0.0,
2024-02-19,Snacks,180.0,1.5,0.0,0.0,0.0,0.0,60.0,40.0,100.0,30.0,5.0,18.0,18.0,2.0,20.0,14.5,3.1,
